യുണൈറ്റഡിന്	For United
വൈറലാകുമ്ബോള്‍	When it goes viral
നഗരങ്ങളില്‍	in the cities.
പകരം	Instead of
വൈകും	It'll be late
പിന്തുണക്കുമോ	Will you support me?
ഏറ്റെടുക്കാന്‍	To take over
എന്നുവച്ചാല്‍	That is to say,
ഷാജി	Shaji
ബോബി	Bobby
മദ്യപിച്ചെത്തി	He got drunk
മറഡോണയ്ക്ക്	To Maradona
എംടി	MT
ഗോള്‍ഡന്‍	Golden
അറിയേണ്ടതെല്ലാം	Everything you need to know
ഏകദിനത്തിലേയും	And in ODIs
കവിഞ്ഞു	Exceeded
മരയ്ക്കാരും	The woodpeckers
നടപടിയില്ല	No action
മൊട്ടിട്ട	Shaved
പുരസ്‌ക്കാരം	Award
തീയറ്റര്‍	Theater
എഫക്ടില്‍	In Effect
ജയവുമായി	With victory
മുംബൈക്കെതിരെ	Against Mumbai
ഷൂട്ടില്‍	in the shoot
പിയറ്റെക്	Piatek
അമ്ബിളിയുടെ	Ambili's
ഫാസിലും	Fazil and
വേദനയില്‍	in pain.
പെന്‍പോളിന്	Pen Pauline
ലോണ്‍	Loan
സ്വന്തമാക്കി	acquired
പപ്പയ്ക്ക്	To Papa.
വിലവര്‍ധനവ്	Price hike
നിന്ന്	from
ഒരാള്‍	One of them
ദോഹ	Doha
ലൂസിഫറിലെ	In Lucifer
നിറഞ്ഞ	Full of
നല്‍കാമെന്ന്	To give it
കൊലമാസ്സ്	Kolamass
ജെഎഫ്ഡബ്ല്യു	JFW
കൊണ്ടുവന്ന്	Bring it.
താരങ്ങള്‍ക്കും	And the stars
ശരിയോ	Is that right?
കൊലക്കുറ്റത്തിന്	For murder
സ്റ്റേഡിയം	Stadium
എംബി	MB
ചെ​മ്മീ​ന്‍	Shrimp
മോഹന്‍രാജ	Mohan Raja
രൂപത്തെ	the form
ബെല്‍ജിയത്തിനായി	For Belgium
കേരളത്തിനിത്	This is for Kerala.
ഷോയില്‍	On the show
ഫിലിപ്പൈന്‍സില്‍	In the Philippines
കയറി	Climbed up
ഭീകരവാദത്തിനെതിരായ	Against terrorism
ബ​ഗാന്‍	Bagan
പോസ്റ്റ്‌	Post
ടോട്ടനത്തിന്	For Tottenham
ബുംറയും	And Bumrah
തിരിച്ച്‌	Back.
പാതയില്‍	On the road
ഹാട്രിക്കുമായി	With a hat-trick
ലിജോ	Lijo
പുല്‍വാമയില്‍	In Pulwama
ഓവറുകളില്‍	In the overs
മാറിയതെന്ന്	That has changed
നിലച്ചു	Stopped
സ്ക്രീന്‍	Screen
ബാധ്യതയായി	as a liability
കോഹ്ലിമാരല്ല	Not The Kohlis
മലയാളിത്തിരക്ക്	Malayalee rush
സുരാജിനും	And Suraj
കെയുമായി	with K
ചലഞ്ചിനൊടുവില്‍	At the end of the challenge
ചുമത്തി	imposed
ബിജെപിയുടെ	BJP's
വിളിച്ചു	called
ഭാര്യാവീട്ടുകാര്‍	In-laws' families
പേജുകളിലെന്ന്	From the pages
ഫിനാന്‍ഷ്യല്‍	Financial
ഉപദേശിക്കാനും	and to advise
ഒഴിവാക്കാനുള്ള	to avoid
മാനം	Dimension
വച്ചു	Put it
എനിക്കൊപ്പം	With me.
ജിഡിപി	GDP
യുണൈറ്റഡിനെ	United
കാരണം	Because
റഷ്യയും	and Russia.
വെടിവെപ്പ്	Shooting
ഇറാനിലേക്ക്	To Iran.
പ്രവാചകഃ	The Prophet
ലോകവ്യാപാര	World Trade
പാക്കിസ്ഥാന്റെ	Of Pakistan
ഒറ്റദിനത്തിലെ	In a single day
ശരിവെച്ചു	Confirmed
സില്‍വ	Silva
വെഡ്ഡിംഗ്	Wedding
കരിയറില്‍	In the career
രഘുറാം	Raghuram
പിള്ള	Pillai
വരുതിയിലായില്ല	Not in control
പുതുമയുള്ള	The novelty
വാങ്ങിയെന്നതിനുള്ള	For purchasing
അമലപോളിന്റെ	Amala Paul's
അട്ടിമറിച്ച്‌	Sabotaged
സാം​സം​ഗ്	Samsung
ദുല്‍ഖറിന്റെ	Dulquer's
പ്രതിഭയുള്ള	Talented
വിമര്‍ശിച്ച്‌	Criticizing
കളിക്കണമെന്ന	To play
നാണക്കേടാവും	It'll be embarrassing
ഫോറില്‍	Four
നടനെതിനെതിരെ	Against the actor
പ്രചരണത്തില്‍	In the campaign
ലഭിക്കാതിരിക്കാന്‍	not to receive
കിട്ടും	I'll get it
മാര്‍ഗമില്ല	There is no way out.
മണിക്കൂറുകള്‍ക്കുള്ളില്‍	Within hours
ഹുവായും	and Hua
കീ	Key
പ്രീമീയര്‍	Premiere
കള്ളനും	and the thief.
തകര്‍ക്കണം	Must be destroyed.
പരിസ്ഥിതി	Environment
ഗെയ്‌ലിന്	Gaelin
സ്വീകരിച്ച്‌	Accepted and Accepted
നെറോക്കയെ	Neroca
14ന്	on the 14th
വാര്‍ത്തകള്‍	News
ബയേണിനെ	Bayern
കരാറില്‍	In the contract
പാചകവാതക	Cooking Gas
നേതാക്കള്‍	Leaders
താരനിര	The star cast
ഉന്‍	Un
ബംഗാള്‍	Bengal
സബ്സിഡിയില്ലാത്ത	Non-subsidized
ധോണിക്കെതിരേ	Against Dhoni
വിട	Goodbye
ചാടിയേനെ	Would have jumped
പോലും	Even
പോണ്‍	
മെ​സി	Messi
മറന്നു	Forgotten
മമ്മൂക്ക	Mammukka
എയര്‍ബസ്	Airbus
വിറപ്പിച്ച	shaken
കജോളിന്റെ	Kajol's
ഏപ്രിലോടെ	By April
യെ	Ye
പ്രണയവും	and love.
ചിറകിലേറി	Winged
ബിഗ്	Big Big
സ്വാന്തനം	Independence
കുറഞ്ഞു	Decreased
ഹാജിക്കുനേരെ	Towards Haji
പ്രശസ്തിയ്ക്ക്	for fame
അവര്‍ക്ക്	For them
ഉടക്കി	Cracked
പ്രപ്പോസ്	Proposal
വിജയകാന്തിന്റെ	Vijayakanth's
ഓകെ	Okay.
ഏജന്റില്‍	In the agent
റേഞ്ച്	Range
റോക്കി	Rocky
മൂല്യത്തില്‍	In value
കോളിവുഡില്‍	In Kollywood
ശ്രമിക്കുന്നു	I'm trying
ബാങ്കിന്‍റെ	of the bank
തീരുമാനങ്ങള്‍	Decisions
ചീഫ്	Chief
സേവാംഗ്	Sewang
കുപ്രചാരണങ്ങളെന്ന്	The propaganda that
ശ്രീകാന്ത്	Srikanth
ഭ​​​യ​​​പ്പെ​​​ടു​​​ന്ന​​​ത്	Being afraid of
നല്‍കില്ല	Won't give
യു​​വ	The young
ഒഴിവാക്കി	Omitted
നായികയായിരുന്നപ്പോള്‍	When she was the heroine
കളിക്കേണ്ടത്	To play
മുകേഷേട്ടനും	And Mukesh
സെക്ലിങ്	Sexling
കാര്‍ണിവല്‍	Carnival
ആഡം	Adam
ഓര്‍ക്കും	Will remember
ന്യൂസിലാന്‍ഡ്	New Zealand
ബാ​ല​യും​	And Bala
പ്രതിമാസ	Monthly
പരിപാടികള്‍	Programs
നോട്ട്നിരോധനത്തില്‍	On demonetisation
വിദഗ്ധര്‍	Experts
തിരക്കഥാകൃത്തുമായ	the scriptwriter and
ഹാ​പ്പി	Happy
വരവോടെ	With the arrival of
മഞ്ചേരിയും	Manjeri and
യുവേഫ	UEFA
എന്‍ഡ്	End
തിരുവല്ല	Thiruvalla
ലിറ്ററിന്	per litre
നഗരം	town
ദേഖോ	Dekho
ബുഗാട്ടി	Bugatti
മാത്രമെന്ന്	That's only
അഡാര്‍	Adar
വില്ല്യംസണ്‍	Williamson
നിറത്തിലുള്ള	In color
കരഞ്ഞു	She cried
കടത്തിവെട്ടി	Crossed
പ​​​​ല	many
ടിവിക്ക്	To the TV.
ഇ​രു​ഭാ​ഗ​ത്തേ​ക്ക​മു​ള്ള	On both sides
ഫെഡ്	Fed
വിജയ്ക്കും	And Vijay
തൊഴിലില്ലായ്മ	Unemployment
രോഗികള്‍ക്ക്	For the patients
തൃശൂര്‍	Thrissur
ഇ​​ഞ്ചോ​​ടി​​ഞ്ച്	The inch of
അത്ഭുതവിളക്ക്	The wonder lamp
രക്തത്തിലെ	in the blood
റെയില്‍വേയ്ക്ക്	For the Railways
റാന്നിയിലെ	in Ranni
ഭീമന്‍	The giant
ചെന്നൈ	Chennai
റിക്കാര്‍ഡിട്ട്	Record
സംഗമവും	Confluence and
ചാന്‍റ്സ്	Chants
വിശ്വസിക്കുന്നേ	Believe me
നാ​ലി​ന്	Four.
അക്കൗണ്ടിനും	and account
ടാറ്റുവുമായി	With the tattoo
വര്‍ഷത്തിനുശേഷമാണ്	After a year,
തീരുമാനമായില്ല	It has not been decided.
കമ്ബോളം	Kambol
രാജ്യവ്യാപകമായി	Nationwide
കാര്‍ഡുകളുടെ	of the cards
ട്വന്റി	Twenty
ആ‌ഭ്യന്തര	That interior
വിളക്ക്	The Lamp
വച്ചത്	Put in
ഓണ്‍ലൈനില്‍	Online
സ്നേഹ	Love
കോഹ്‌ലിക്ക്	For Kohli
ബാഗി	Bagi
മാഡിയുടെ	Maddy's
നിന്നുളള	from
നില്‍ക്കെ	Hold on
വ​​നി​​താ	Women
താരപുത്രിയ്ക്ക്	For the star daughter
ഫോണുകള്‍ക്ക്	For the phones
സ്റ്റീവ്	Steve
ആത്മാര്‍ത്ഥതയും	Sincerity and sincerity
റൊണാള്‍ഡോയ്ക്ക്	For Ronaldo
വിവാദമാക്കാന്‍	To make it controversial
പട്ടികയിലേക്ക്	To the list
നാടകീയ	Dramatic
ബമ്ബര്‍	Bumper
മേ​​​ധാ​​​വി​​​ക​​​ളു​​​മാ​​​യി	with the chiefs
പൈജാമയും	and pyjamas
തീരുമാനത്തോട്	with the decision
യാഥാര്‍ത്ഥ്യമായി	It's real
നടപടിയുമായി	with action
ആര്‍	Who
ഉണ്ടെന്ന്	There is
നീല	blue
ചുവടുവച്ച്‌	Stepping in
രണ്ടാമത്തെ	second
ചിമ്മുന്ന	Blinking
റെയ്‌നയേയും	and Raina.
ഒപ്പത്തിനൊപ്പം	With the companion
സ്വ​​​കാ​​​ര്യ	Private
തുക	Amount
ലുസിഫറിന്‍റെ	Of Lucifer's
ട്വ​ന്‍റി	Twenty
സുന്ദരിമാര്‍	The beautiful ones
പിഴവ	Error
കൂര്‍ത്ത	Sharp
മകളുടെ	of her daughter
ലാപ്‌ടോപ്പ്	Laptop
മലയാളിയും	Malayalees
കാണരുതെന്ന്	Don't see.
ചാക്ക്	Sack
ഇ​ന്ദ്ര​	Indra
കുമ്ബളാംപൊയ്ക	Kumbalampoyka
സിങ്	Singh
ലഫ്റ്റനന്റ്	Lieutenant
വാലറ്റ്	Wallet
ഉര്‍വശിക്ക്	Urvashi
2019ല്‍	in 2019.
മുഹൂര്‍ത്തമെന്ന്	The muhurat is
എല്ലാവര്‍ക്കും	For everyone.
പുറത്തിരിക്കും	It'll be outside.
വെല്‍ത്ത്	Wealth
ഒറ്റകക്ഷിയായേക്കും	It could be a single party
പരുക്കനാകുന്നു	It's getting rough
ഇന്ത്യക്ക്	For India
മണ്ണിലെ	in the soil
ഇ​ന്‍​കം	Income
വെല്‍സ്	Wells
പൊങ്കാല	Pongala
അമേത്തി	Amethi
വൈറലാകുന്ന	Going viral
എണ്ണംകൂടി	The number swelled up
000ത്തിനു	for 000.
ഔട്ട്	out
ഇറങ്ങും	Will come down
യുറു​ഗ്വെ	Uruguay
ഇവിടെ	Over here
ജീവിതം	Life
വഴി	road
തീയതി	Date
യുണൈറ്റഡ്	United
യാത്ര	travel
ഫിഞ്ചിനും	and Finch
ഷോയ്ക്ക്	For the show
പരുക്കില്‍	In the injury
ശര്‍മ്മ	Sharma
കുംഭകൊണം	Kumbhakkonam
ആദരം	Respect
അനീതിയാണ്	It's unfair
ഇടപാടുകാര്‍ക്കും	and customers.
നേര്‍ന്ന്	Vows
മാര്‍ക്കറ്റിന്	for the market
ബ്രേക്കിംങ്	Braking
പൂ​ട്ടുമെന്ന്	That it will be closed
ഇന്‍ഗ്ലണ്ടിനെതിരായ	Against England
കുട്ടികളുടെ	The children's
യൊകോവിച്ച‌്	Yokovich
കമ്ബനിയായി	as a company
രചിച്ച	Written
വിചിത്രമായ	Strange.
മറികടന്നു	Overcame
വിഡ്ഢിത്തം	Stupidity
പ്രതിഫലനം	Reflection
ഇതെന്റെ	This is my
പ്രതാപം	Glory
ഗ്രാമങ്ങള്‍	Villages
അപ്പോ	So, then
ദി​ന​ത്തി​ല്‍	on the day
മൂന്നടിയില്‍	In three feet
ബാങ്കിലെ	In the bank
അഡ്‌നോക്ക്	Adnok.
ഹാഷ്ടാഗില്‍	In hashtag
സ്‌റ്റോറിയിലെ	In the story
ഷാ	Shah
ഇഫക്ടില്‍	In effect
ഷെട്ടിയും	And Shetty
ട്വിസ്റ്റ്	Twist
റോളുകള്‍	Roles
കാത്തിരിക്കുന്നത്	Waiting
കൂ​​​ലി​​​ത്ത​​​ര്‍​ക്കം	Wage dispute
ജയിക്കും	Will win
പേടിച്ച്‌	Afraid
ഫോക്‌സ്	Fox
മതിയെന്ന്	That's enough.
കോഹ്ലി	Kohli
പരിധിയിലും	and in range
ലോഹമായി	as metal
അതിജീവിച്ച	Survived
ബാധിക്കില്ലെന്നും	will not be affected
ചെരിപ്പുകമ്ബനിയുടെ	Of the cobbler company
കു​​ടീ​​ഞ്ഞോ​​യ്ക്കു	To Kudinho
റൈഡേഴ്‌സും	and riders
ശശിധരന്	Sasidharan
സിബിഡിടി	CBDT
കപ്പയെയും	and Kappa
സെഞ്ചുറിയുമായി	With a century
ജീവനക്കാര്‍ക്ക്	For employees
ജാമ്യാപേക്ഷ	Bail Plea
പോലീസിന്റെ	The police
സി​​ക്സ​​ടി​​ച്ച്‌	Hit a six
ബ്ര​സീ​ലി​ലെ	in Brazil.
മരണത്തെ	of death.
വിമാനടിക്കറ്റ്	Air tickets
തിരിച്ചെത്തുമോ	Will you come back?
സ്വഭാവമാണ്	It's character
മോളുടെ	Daughter's
ഗോസ്	Goss
പോര	Not enough
പരാതിയില്‍	In the complaint
പടുകൂറ്റന്‍	Huge
പൂട്ടി	Locked up
വുമണ്‍സ്	Women's
വാല്യൂ	Value
കൈയ്യോടെ	With the hand
പ്രചരണങ്ങളും	and propaganda
ഗര്‍ഭപാ‍ത്രത്തില്‍നിന്നും	From the womb
സ്മിത്തിനെയും	and Smith.
സുരേഷിന്റെ	Suresh's
പ്രദര്‍ശനത്തിനെത്തും	Will be on display
വന്‍തോതില്‍	On a large scale
ചുട്ടമറുപടിയുമായി	with a befitting reply
വീടുകളില്‍	in the houses.
കഴിയാതെ	Can't
ടീമിനെതിരേ	Against the team
നാഗ്	Nag
സിനിമാലോകത്തിന്റെയും	and the film world
തിരികെയെത്തി	It's back.
കയറ്റുമതിക്ക്	For export
പാര്‍​ക്കിം​ഗി​ന്	For parking
മമ്മാലിയും	And Mammali
ഞെട്ടിപ്പിക്കുന്ന	Shocking
അമുല്‍	Amul
എളു	Elu
നിറങ്ങളില്‍	in colors.
കെടിഎം	KTM
വിശാലിന്റെയും	And Vishal's
വിമലും	Vimal and
കിട്ടിയില്ലെങ്കില്‍	If you don't get it.
മാക്‌സ്	Max.
രജനീകാന്ത്	Rajinikanth
മൊഹാലി	Mohali
പതിമൂന്നാമത്	The thirteenth
ചോ​​ദി​​ച്ചു	Asked
ആറാം	The sixth
ടൂ	Too
കേ​സ്	The case
കുട്ടിയാണ്	It's a child.
ശങ്കറോ	Shankaro
ഇന്ദ്രജിത്ത്	Indrajith
ചാമ്ബ്യന്‍സ്	Champions
ജസ്റ്റിന്‍	Justin
കടന്നു	Entered
പ്ലാനുമായി	with the plan
വി​ല​കു​റ​ച്ച്‌	Reduced prices
സ്‌മിത്തിനും	And Smith
അടിക്കാന്‍	To hit
കര്‍ശന	Strict
ശര്‍മയോട്	To Sharma
എസ്പി	SP
കേള്‍ക്കുന്നത്	Listening to
സ്റ്റീല്‍	Steel
മുകേഷും	And Mukesh
സിനിമയുമായി	with the movie
വിഭാഗത്തിലെ	In the category
പാര്‍ട്ടികള്‍	Parties
വിമര്‍ശിച്ചവര്‍ക്കെതിരെ	Against those who criticized
ഗ്രൂമിങ്	Grooming
സയന്‍സ്	Science
സ്മൃതി	Smriti
പരാതിയുമായി	With a complaint
നിര്‍ബന്ധിച്ചു	Forced to
സര്‍ട്ടിഫിക്കറ്റ്‌	Certificate
പതിനൊന്ന്	eleven
രക്ഷയില്ല	There is no salvation.
മാറണമെങ്കില്‍	If you want to change
ലാഭമുണ്ടാക്കാന്‍	To make a profit
ഷൂട്ടിനെത്തുമ്ബോള്‍	When it comes to the shoot
ഹാള്‍മാര്‍ക്കിംഗ്	Hallmarking
ആര്‍ക്കൊക്കെ	To whom?
ഫൈനല്‍എം	Final M
കാര്‍ഷികേതര	Non-agricultural
ഇം​ഗ്ലണ്ടിലേക്ക്	To England.
വാര്‍ത്ത	News
അറിയിച്ച്‌	Notified
പുരസ്‌കാരം	Award
നിവര്‍ത്താം	Straighten
നിര്‍ണ്ണായകം	Crucial
ഭേദഗതി	Amendment
ജി​യോ	Jio
എഴുന്നേറ്റ്	Get up.
കോഹ്ലിയോട്	To Kohli
ദീദി	Didi
യു	U
സാമ്ബത്തികമായി	Financially
മോദിയെപ്പോലെ	Like Modi.
ഒടിയന്‍	Odiyan
ഏര്‍പ്പെടുത്തിയിരുന്ന	which was introduced
സി​യാ​ല്‍	Cial
ഐയുടെ	I's
പ്രേമകഥ	Love Story
പെട്ടന്ന്	suddenly
ആഴ്സനലിനും	and Arsenal
വിമാനത്താവളത്തിന്‍റെ	of the airport
വിന്‍ഡീസ‌്	West Indies
ഈസ്റ്റ്‌	East
പോരാട്ടം	The fight
ദ്രോഹിച്ചെന്ന്	That he's been hurt
ജയസൂര്യയുടെ	Jayasurya's
ചേച്ചിയ്ക്ക്	To my sister
അവസരമൊരുക്കി	The opportunity was provided
കോമനും	and Coman
ചെയ്യണമെന്ന്	Want to do
പെണ്‍കുട്ടികളുടെ	of the girls.
സേവിംഗ്‌സ്	Savings
എഫിന്റെ	of f.
ടീമുകള്‍ക്ക്	For the teams
ട്രോഫിയില്‍	in the trophy
ഗെയിമിന്റെ	of the game
ദിവസങ്ങളോളം	For days on end
പതിനാറാം	The sixteenth
സ്വിഗി	Swiggy
വീഴ്‌ത്തി	Dropped
മരണപ്പെട്ട	Dead
അത്‌ലറ്റികോ	Atlético
വെനസ്വേലന്‍	Venezuelan
വകുപ്പുകള്‍	Departments
ഇറങ്ങുന്നു	Landing
പരിഷ്കരണങ്ങളുമായി	with modifications
ഡോണറ്റ്	Donnet
പിക്സല്‍	Pixel
മറികടക്കുന്ന	Overcoming
തെലുങ്കില്‍	In Telugu
വീട്ടില്‍	At home.
നിക്	Nick.
ഒളിംപിക്‌സിന്‌	For the Olympics
പന്നിക്കൂട്ടില്‍	In the pig's nest
കൊടക്	Kodak
വര്‍ഷത്തിന്	for the year
ജീവിതമാകെ	The whole of life
സമാഹരണം	Collection
എന്ന	of
സര്‍വത്ര	Sarvatra
തീരുമാനിക്കുന്നത്	Deciding
മലപ്പുറത്ത്	In Malappuram
കുമ്മനത്തേയും	and Kummanam
പാറും	And Paro
പ്രാധാന്യം	Importance
ഗോഡ്	God
പെരുമാറ്റച്ചട്ടം	Code of Conduct
പുറത്തിറക്കാനൊരുങ്ങി	Ready to release
ഭീമന്മാര്‍	Giants
പേരുമായി	with the name
ക​ണ്ടീ​ഷ​നു​ക​ള്‍	Conditions
താനല്ല	It's not you.
ഭുവി	Bhuvi
പ്രോജക്റ്റില്‍	In the project
ഓഹരികളുടെ	shares of
ഇതിന്	For this
സ്വാതന്ത്രത്തിന്	for freedom.
നമ്മുടെയിടയിലുണ്ട്	It's among us.
ലിന്‍ഷയെ	Of Linsha
ഹൗസ്	House
ഇറക്കി	Downloaded
നിലപാടിലായിരുന്നു	Was in position
പരസ്യത്തെ	Ad
കമ്മീഷണര്‍ക്ക്	To the Commissioner
റിനോയുമായി	With Rino
വെറും	Just
സൗഹാര്‍ദ്ദ	Friendly
ഇന്ത്യയില്‍നിന്ന്	from India.
ഓര്‍ഡിനന്‍സ്	Ordinance
വരവായിരുന്നു	It was coming
എഎസ്	AS
മറികടന്നത‌്	Surpassed by
അഗ്വേറോ	Aguero
ആളില്ലാത്ത	There are no people.
പത്രം	The newspaper
കുറച്ചത്	Reduced
പ്രതീക്ഷിക്കുന്നത്	What is expected
ചി​​ന്ന​​പ്പ	Chinnappa
പുറത്തായാലും	Even if it's out
ഐഡിബിഐ	IDBI
2019ന്	in 2019.
പെണ്ണ്	girl
നിയന്ത്രണങ്ങള്‍	Restrictions
ഇ​രു​ട്ട​ടി​യാ​കും	It will be dark
എ​ഫ്സി​എ	FCA
സെറ്റ്	Set
ആസ്ര്‌ത്രേലിയയും	and Australia.
നിര്‍ത്തിവെക്കാന്‍	To stop
അടപ്പിച്ച്‌	Closed
ഉള്ളിലുള്ളതെല്ലാം	Everything inside.
താമസത്തിനും	for accommodation and accommodation
മാത്രമേ	Only
റേ​ഡി​യോ	radio
എറ്റിഎം	ATM
വന്നോളും	He'll come.
വേഷത്തിലെത്തുന്ന	In the role of
ല​ഭി​ക്കാതായതോടെ	When you don't get it
സൊമാറ്റോയും	And Zomato
പ്രശസ്ത	Famous
ഡികോക്കിന്	De Kock
കോഹ്‌ലിയുടെ	Kohli's
മാനിക്കാതെ	Not respecting
ഗ്രേസില്‍	In Grace.
കൈ​മാ​റു​മെ​ന്നു	Will be handed over
ഓ​ര്‍​ഡ​ര്‍	Order
താല്‍പ്പര്യം	Interest
കൈയ്യബദ്ധമാണെന്ന്	It's hand-in-hand
പോ​ര്‍ട്ടോ	Porto
വിരല്‍ത്തുമ്ബിലെന്ന്	At the fingertips
സമനില	Balance
കൈവശമുള്ളത്	What's in possession
മിന്നിക്കും	It will blink
വിക്കറ്റും	and the wicket
ന്യൂസിലന്‍ഡിന്	New Zealand
ആയ	aaya
നാലുവിക്കറ്റ്	Four wickets
കഥകള്‍	Stories
തയ്യാറെടുത്ത്	Ready to prepare
സ്മാര്‍ട്ട്	Smart
തീയേറ്ററില്‍	In the theater.
പിങ്ക്	Pink
നിക്ഷേപിക്കേണ്ടത്	To be invested
ഹിറ്റ്മാനെ	Hitman
ലിവര്‍പൂള്‍	Liverpool
കങ്കാരുക്കളെ	Kangaroos
ബാഴ്സലോണയ്ക്ക്	For Barcelona
തന്ത്രങ്ങള്‍	Tactics
കശ്മീര്‍	Kashmir
ലാഭവിഹിതമായി	as dividends
അവസാന	The last
സാക്ഷിയും	and the witness
സ്‌റ്റമ്ബിംഗികളും	And the stumpings
അഡാറ്	Adaar
പറഞ്ഞിട്ടില്ല	I didn't say
ഉണര്‍വോടെ	With awakening
ബന്ധപ്പെട്ട്	Related
ഉപദ്രവിക്കുന്നു	Hurting
മാഞ്ചസ്റ്ററിനോട്	To Manchester
സൈക്ലിസ്റ്റാകാന്‍	To become a cyclist
നേടിയെടുത്ത്	Acquired
സിദാന്റെ	Zidane's
പ്രായത്തിനല്ല	Not for age.
തടയുന്നു	Blocking
വിദേ​ശ	Foreign
ഗവര്‍ണറും	And the Governor
സൂപ്പര്‍താരമാകും	Will be a superstar
സോയാ	Soya
റോബിന്‍	Robin.
ഡിമാന്‍ഡ്	Demand
ഇടപാടുകളില്‍	In transactions
നല്ല	Good
രൂക്ഷം	Severe
സായിപല്ലവിയൊക്കെ	Sai Pallavi
വിവാഹാഘോഷത്തിന്റെ	Of the wedding celebration
ചടങ്ങിനെത്തിയ	Attending the ceremony
ന്	on
തിരിച്ചുനല്‍കിയില്ല	Not returned
മരുന്നുകളുടെ	of medicines
മാക്‌സിലാണോ	Is it max?
വോഡഫോണും	And Vodafone
ട്രയംഫ്	Triumph
നില്‍ക്കാന്‍	To stop
ബംഗ്ലാവി	Bungalowi
ന്‌	on
ആധാര്‍	Aadhaar
ഇ​​ര​​ട്ട	Double
ഓടി	Run away
ഇന്ധനം	Fuel
ചെയ്‌സ്	Chase
മറന്നിട്ടില്ല	I haven't forgotten.
ദക്ഷിണാഫ്രിക്കക്കെതിരെ	Against South Africa
റണ്‍സ‌്	Runs
ക​​​​ര്‍​​​​ഷ​​​​ക​​​​ര്‍​​​​ക്ക്	For the farmers
മെന്ന്	That's
സെമിയില്‍	In the semi-finals
വാര്‍ണറുമില്ല	There's no Warner.
വര്‍ഷങ്ങളുടെ	of the years
യൂസേഴ്‌സ്	Users
രേഖ	Document
ന​ല്​കും	Will give
തിരിച്ചുവരുന്നു	Coming back
ദിലീപും	Dileep and
വാ​വെ	Vave
താനതിന്റെ	He's his
ഒന്നുകില്‍	Either
സുരേഷ്	Suresh
ഋഷഭ്	Rishabh
സുഗന്ധദ്രവ്യ	Perfume
മാര്‍ച്ചിലെ	In March
പഴക്കമുള്ള	Old
ഫെല്ലെയ്‌നിയില്ല	There's no Fellaini.
ഇടത്	Left
നായികയാകുന്ന	Becoming the heroine
കൂട്ടിയാലോ	If you add
ആലിയയെ	Aaliyah
കമ്ബനി​​​ക​​​ള്‍​​​ക്ക്	For companies
സ്‌റ്റൈല്‍	Style
ബയേണ്‍	Bayern
ഇഎസ്‌ഐ	ESI
ചിത്രങ്ങളില്‍	In the pictures
മുദ്ര	Seal
ഫ്ലിപ്കാര്‍ട്ടില്‍	On Flipkart
ഡെല്‍ഹി	Delhi
പ്രതിരോധ	Defense
ജ്യൂസ്	Juice
വൈദ്യുതി	electricity
അമ്മയെക്കാണാന്‍	To see my mother.
കൂട്ടായി	collectively
കു‌ഞ്ഞ്	Kunju
തള്ളി	Pushed
നരേന്ദ്ര	Narendra
പ്രകടനത്തെ	Performance
ജെറ്റ്‌എയര്‍വേസിന്റെ	Jet Airways
കുതിപ്പിലേക്ക്	To the leap
വിപണിയിലേയ്ക്ക്	to the market
കടുക്കുന്നു	It's hardening
ബിനാമി	Benami
ജഡേജയോട്	To Jadeja
ജി​ടി	GT
വെറുതെയായി	It's just for nothing.
തിരിച്ചെത്തും	I'll be back.
രാജമൗലി	Rajamouli
ത്രില്ലടിപ്പിക്കാന്‍	To thrill
ഭാരത്	Bharat
തകര്‍ന്നാല്‍	If it breaks down
ചാ​​ന്പ്യ​​നെ	Chanpyan
പൊട്ടിച്ചിരിപ്പിച്ച്‌	Making you laugh
ആ​പ്പു​മാ​യി	with the app
സ്മിത്ത്	Smith
ഒരാളല്ല	Not one.
മഹാരാഷ്ട്രയില്‍	In Maharashtra
പെയ്മെന്റ്	Payment
വിവാഹ	Marriage
കമ്ബനികള്‍	Companies
വല്യേട്ടനാണ്	He's a big brother
എല്ലാദിവസവും	Every day.
അംബുലന്‍സുകളുടെ	of the ambulances
മാസത്തില്‍	In the month
കൈമാറുന്നതില്‍	In transferring
കാലം	time
ഇംഗ്ലീഷ്‌	English
അസ്ലന്‍	Azlan
ഭരത്	Bharath
പോലെയാകേണ്ടെന്ന്	Don't be like that.
സൊമാറ്റോയോ	Zomato
ഫോട്ടോകള്‍	Photos
ഐക്യരാഷ്ട്രസഭയുടെ	Of the United Nations
ബ​​​ഹു​​​മ​​​തി	Honor
ചെയ്യുന്നതാണെന്ന്	That's what you're doing
എതിരാളികള്‍ക്ക്	to the opponents.
ഒളിംപിക്സ്	Olympics
എല്ലിന്	Ellin.
അടിച്ചു	Hit
അണിയറയിലൊരുങ്ങുന്നു	Getting ready for the film
മോഹന്‍ലാലിന്റെയും	And Mohanlal's
രമേഷ്	Ramesh
മഞ്ജുവെന്ന്	Manju
സര്‍വേയില്‍	In the survey
മധുരരാജാ	Madhuraraja
അര്‍ഹിച്ചിരുന്നു	Deserved it
ലോട്ടറിയടിച്ചത്	Won the lottery
മടങ്ങിയെത്തിയത്‌	Returned
അമേരിക്കയില്‍	In America.
ഫാഷന്‍	Fashion
