ચોર્યો	The thief
જાણી	Know
સરક્યા	slipped
સમાધાનઃબાબા	Solution: Baba
એક્સાઇટમેન્ટનો	of excitement
ખુબસરસ	Very nice
ક્રેટાને	To Creta
થોડીક	A little
કેનેડામાં	In Canada
ટેકાના	Support
અકબંધ	Intact
એશિયાની	of Asia
પાંગરેલો	Pangrelo
વચગાળાના	Interim
જુઓ	Look out
ઇલેકટ્રીક	Electric
મોનલ	Monal
શહેરમાં	in the city
દયા	Mercy
ખરીદવો	Buy
કેલેન્ડર	Calendar
એલીનો	Ellino
બેંકે	Bank
અવકાશયાત્રી	Astronauts
ખેતરોમાં	in the fields
ચાલ્યો	Gone
દેખાઈ	appeared
નેગેટિવ	Negative
નિહારિકા	nebula
આપત્તિ	Disaster
20ફાર્મા	20Pharma
સુઝૈનનાં	Suzanne's
ફાફડા	Fafda
કરેલી	Done
ભળી	Merged
રજાના	Holidays
અપાય	Given
જમીન	earth
અલવીદા	Alvida
વખાણ	Praise
મિત્ર	friend
કાંતતા	spinning
અંગત	Personal
શ્રીદેવીનું	Of Sridevi
લોકોએ	People
પેક	Pack
મીટરમાં	in meters
યુવાનોમાં	among the youth
યથાવત	As it is
વેચી	Sold
ત્રીજી	The third
આયાત	Imported
ડબ્બૂ	Dabboo
ફેબ્રુઆરીમાં	In February
છૂટી	Released
સિદ્ધાર્થની	Siddhartha's
ખેડૂત	farmer
એક્સપાયરી	Expiry
મમ્મીએ	Mom
કિંગ્સની	Of the Kings
રિજેક્ટ	Rejected
યુનિવર્સિટી	university
પોઇન્ટના	of the point
ઉતારવા	Unloading
ડેની	Danny
સોજી	Soji
વિશ્વભરમાં	Around the world
વાયુસેનાએ	Air Force
ધાબીમાં	In Dhabi
મનપા	Manpa
ચમકશે	will shine
ચૂલ્હો	Chulho
જામીનપાત્ર	bailable
શફી	Shafi
નવાઇ	Surprised
વાપરતા	Used
પ્રિંસ	Prince
સરાહના	Sarahna
બિયર	Beer
નવમા	ninth
ટ્રીટ	Treat
આહુજાના	Ahuja's
ફેબ્રુઆરીથી	From February
જોડાયું	Connected
ભવિષ્યની	Future
જોડાયા	Joined
હતા	were
પોટલી	Potley
બસુએ	Basu
ટેલીકોમ	Telecom
ફેંકી	Thrown away
કૌશલ	Kaushal
વૃદ્ધિદર	growth rate
શરતે	On condition
મંડપ	Mandapa
જ્યા	sine
ધના	Dhana
દીધું	given
ગેંદા	Genda
ખરીદ્યું	Bought
ભૂમિકા	Role
લવરાત્રિ	Loveratri
ઘી	ghee
સ્વાભિમાની	self-respect
શક્યતાઃ	Chances:
લાખ	lakh
રૂપાલીમાં	In Rupali
સાંભળ્યુ	Heard
અપકમિંગ	Upcoming
દાઉદ	Dawood
પ્રતાપનો	Pratap's
બોસની	Boss's
માલકણ	Malkan
હિંમતનગર	Himmatnagar
નહાય	Bathing
સેવાઓનો	of the Services
સંપૂર્ણ	Complete
દયાભાભીની	Dayabhabhi's
અંજના	Anjana
અબ્રાહમે	Abraham
251ની	Of 251
ડૂબ્યા	drowned
શૂટમાં	In the shoot
રૂ	cotton
માનવામાં	Believed
ભરવા	To fill
અનિચ્છીય	Undesirable
સ્ટેશનમાં	at the station
કનેક્શન	Connection
500માં	In 500
એપથી	from the app
બેન્ઝને	Benz
વેચાઈ	Sold out
વિકી	Vicky
વારસીનું	Warsi's
પ્રેમી	lover
ગર્વ	Proud
પપ્પાના	Dad's
થોમસન	Thomson
મળશે	Will get
પ્રત્યર્પણની	Of extradition
કરે	does
લટ્ટુ	Lattu
પાટણઃકોગ્રેસ	Patan: Congress
બંગલો	Bungalows
સ્ટોરી	Story
પિચાઇ	Pichai
ઇતિહાસ	history
નાખવા	To cast
વિકાસકાર્યોને	Development works
જૂને	June
જિનિયસની	of a genius
પંચમદાને	Panchamdane
ઈન	In
પ્રભાસ	Prabhas
દેવસેના	Devasena
ઓગસ્ટ	August
તૈમૂરને	To Taimur
રુવાટા	Ruwata
સુધીની	up to
રીટેલની	Of Retail
રિશ્તા	Rishta
હરણના	of deer
બબ્લુ	Bablu
કેશની	Cassini
લોન્ય	Lonya
સામીનાં	Samina
ટેક્ષમાં	In tax
કેટરીનાના	Katrina's
સીન	Scene
શેરિંગ	Sharing
ચાર	Four
બિન	Non
સ્કાય	Skye
અમેજોનનું	Amazon's
અખબાર	Newspaper
વસૂલવા	to recover
કરી	kari
લડશે	will fight
વે	Way
એંગ્રી	Angry
આર્ટિફિશિયલ	Artificial
સૌંદર્યાનું	Soundarya's
બનાના	Banana
સિક્યોર	Secure
વિશ્વના	The world
કાઢુ	Remove
બાહુબલીમાં	In Baahubali
12ની	of 12
લાવશે	Will bring
ચોકસી	Choksi
જાટ	Jat
સેક્સુઆલિટી	Sexuality
યલો	Yellow
તેજ	Bright
ફંકશનમાં	In the function
ટેવથી	By habit
સેક્ટરને	To sector
રાહ	Wait
તબિયતમાં	in health
સહેલુ	Easy
કાર્તિકની	Karthik's
પ્રત્યર્પણ	Extradition
બોક્સર	Boxer
અદનાન	Adnan
કહ્યો	said
મોબાઈલમાં	In mobile
મોની	Moni
બનાવ્યો	created
ઊંઝા	Unja
મુસાફરો	Passengers
ઉપલબ્ધ	Available
જ્હોનના	John's
જેટલીના	Jaitley's
એડલ્ટ	Adult
એન્ફિલ્ડને	To Anfield
ખિસ્સામાં	In the pocket
ગુપ્તાએ	Gupta
જિલ્લા	District
25મીએ	On the 25th
ટિકિટના	of the ticket
વરૂણ	Varun
મોટો	Big
ભરવામાં	In filling
પહેરી	Wearing
કચેરીના	Of the office
અવાજમાં	In voice
બાબતો	Things
જીવનની	Life
પિરિયડ	Period
મીડિયાએ	The media
શોધતા	Searching
રોકાયા	Stayed
બબ્બરે	Babbare
ટોકનથી	By Token
બાબતે	About the matter
પહેલા	First
મેદાનમાં	in the field
સ્ટૂડન્ટ	Student
એરિકાનો	Ericano
દુબઇ	Dubai
નિફટીમાં	In Nifty
બતાવાયો	Shown
સ્ટેચ્યૂ	Statue
લાગેલા	felt
સંગીતથી	From music
કરાવવામાં	to get it done
શંકરે	Shankar
નિમણૂક	Appointment
નિતિન	Nitin
અવતાર’ને	Avatar'
માને	Mane
પૂરી	Complete
ટી	T
અર્થશાસ્ત્રીએ	The economist
સુકન્યા	Sukanya
એપલે	Apple
જિયોની	Jio's
પણ	also
ખેંચીને	By dragging
ભૂમિ	earth
ડાયમંડની	of diamond
સૌ	All
વ્હીકલનો	of the vehicle
ફિલ્મ્સ	Films
3કરોડનું	3 crore
છેવટે	After all
ધક્કામુક્કી	Dhakkamukki
બંનેનો	of both
આવવાથી	By coming
નન	Nun
બાબતોનું	of affairs
ગિન્નીનાં	Ginni's
સ્માર્ટવોચ	Smartwatch
ભ્રષ્ટ	Corrupt
ગેસ	Gas
અભિજીતનો	Abhijeet's
ફરજીયાત	Mandatory
રો	Ro
પૂરો	Complete
હાઇ	High
સુજ્યું	Swollen
બેચલર	Bachelor
મેપ્સના	Of maps
નડ્યો	shaky
ઘટાડ્યાં	Reduced
વીડિયોકોન	Videocon
આંતરીક	Internal
મિટર	meter
આરામની	of rest
સેફ	Safe
મેગેઝીન	Magazine
ઝંડી	Flag
કહેશે	will say
દુનિયાભરના	Around the world
કરાવે	Get it done
ઇંચની	of inches
હેડસ્ટેન્ડ	Headstand
પ્રિયંકાનો	Priyanka's
સ્થાને	in place
તૈયાર	ready
જિયોફોન	JioPhone
હાઈવે	Highway
અમેરિકાએ	U.S.
તૈમુરની	Taimur's
જમાનાનો	of the era
ઈકોનોમિસ્ટ	Economist
સમુદ્રી	Marine
ફૂંકે	blowing
ઘરની	At home
બેરોજગારી	Unemployment
યર	Year
જીંદગી	Life
અભણ	Uneducated
ઓફલાઈન	Offline
માનવા	To believe
સ્પેશલ	Special
હયાતે	Hayate
બાવો	Bawo
દેશનાં	of the country
999નો	Of 999
અબજનો	of billions
છોડી	Leave
ચીજો	Things
પુછ્યુ	Asked
કોર્નર	Corner
કૂતરાને	To the dog
અલ્હાબાદ	Allahabad
રાહત	Relief
એરટેલ	Airtel
ક્યારેય	Ever
સિંહનું	of the lion
યૂનિટીની	Of Unity
ડ્રેસ	Dress
અબ્રાહમ	Abraham
બેન	sister
પ્લાનમાં	In the plan
દીપિકાનું	Of Deepika
ગૃહિણીઓનું	Housewives
બેંકોની	of the banks
ક્રેક	Crack
આનંદના	Of joy
મિસ્ત્રીનો	Mistry's
છૂટ	Exemption
વિવિધ	diverse
થશેઃઅરૂણ	Will be: Arun
ગેસ્ટ	Guest
જે	which
એક્સપ્રેસના	Of the Express
કમાલનું	Kamal's
લિયોનીનો	Leoni's
વિગત	Details
રાવણના	Ravana's
ન્યૂડ	Nude
ગાંધીનગરની	Of Gandhinagar
રૂસ્તમ	Rustom
અભ્યાસ	Study
અર્થતંત્રનો	of the economy
તથા	and
જબરા	Jabra
હકિકત	Reality
ઘટાડી	Reduced
એપલ	Apple
વજનમાં	in weight
બિટકોઇન	Bitcoin
ખરીદેલો	Purchased
જોરઃજોઓ	Jor: Jojo
સત્ય	The truth
ઇન્કમ	Income
ભર્યો	Filled
જણાવ્યું	Told
ભારતને	To India
નખની	nails
હડતાળના	of strike
જૈન	Jain
મસ્તી	Fun
ભરેલો	Filled
સિક્કો	coin
તૂરંત	Immediately
હિન્દી	Hindi
કપલે	The couple
બધાઈ	All of them
રિયાલિટી	Reality
કારણો	Reasons
ડેબ્યુ	Debut
મનપામાં	In the CORPORATION
આવેદન	Application
એશ	Ash
યૂનિવર્સલ	Universal
જવેલર્સોએ	Jewelers
વડોદરાના	Vadodara
ભારતમાંથી	from India
11માં	In 11
1થી	From 1
જલવા	Jalwa
મુકેશે	Mukesh
પ્રદેશ18	Region18
ચૂકવવા	to pay
બાપ	Father
લેણદેણ	Transactions
રાત્રે	At night
વિભાગમાં	In section
રોલ	Roll
બ્રાન્ડના	of the brand
વણસેલા	Unsolved
ચૈત્ર	Chaitra
નહોતું	Not
નજરમાં	In the eye
આઝાદીના	of freedom
રોબોટ	Robot
સોદાના	of the deal
ડુબવાનો	To sink
બાબુ	Babu
પાંડેનાં	Pandey's
લાગશેે	It will seem
દેવાળિયા	Bankrupt
વાપસીની	Returning
રેલયાત્રા	Train journey
હાઉસનો	Of the House
પગારમાં	in salary
રહેતો	living
ખેંચાઇ	Dragged
મરજીથી	At will
સાઉદી	Saudi
બ્રાઉઝિંગ	Browsing
કડક	strict
પાડશો	Do it
ધરાવતો	possessed
વીડિયોથી	from the video
ઘુટણે	Kneeling
એમી	Amy
6નો	of 6
રબ	Rab
વધ્યો	increased
અમૃતાની	Amrita's
જન્મદિવસ	Birthday
પાંડેના	Pandey's
માંગે	Wanted to
સેક્રેડ	Sacred
સાબરકાંઠા	Sabarkantha
વ્યાસની	of diameter
માન્યતાએ	Belief
રેશનિંગ	Rationing
દેખાઇ	appeared
ઓપરેટર્સની	operators
કરાવી	done
ઉત્તરાખંડમાં	In Uttarakhand
પાકિસ્તાન	Pakistan
ઉર્મિલા	Urmila
દીકરાનો	of the son
હીરોના	Hero's
ખેડૂતોના	farmers
કેટરીનાની	Katrina's
નાર્કો	Narco
ચૂંટણીમાં	Elections
બહલ	Bahl
નકામા	useless
મહેમાનો	Guests
ટેન્શન	Tension
કાળાં	Black
સુલતાન	sultan
બેહદ	Beyhadh
પાથલ	Pathal
કમેન્ટ’	Comments'
કાલીન	Kalin
મોડલને	to the model
બિયોન્સને	Beyoncé
વોલમાર્ટની	Walmart's
ઈગ્નોર	Ignor
કવિ	poet
ચાદર	sheet
બાબાના	Baba's
પશુપાલન	Animal Husbandry
ભાડુ	Rent
ઘરેણાં	Jewelry
કોશિશ	Try
વેલનેસે	Wellnesse
કેળનાં	Banana
મળવાનું	To meet
મૂડી	capital
એન્ડ્રોઇન	Androin
ગજરાજ	Gajraj
કિસાન	Kisan
લોહી	blood
જવેલર્સ	Jewelers
વોટ્સઅપના	Of WhatsApp
જૂથનું	Of the group
વિકાસની	Development
તેવું	Like that
પશુપાલકોને	To the herders
રાધિકાનું	Radhika's
રમઝાનમાં	In Ramadan
એકનું	of one
ફર્સ્ટ	First
વસૂલ	Recovery
ઇન્ડિયાને	To India
નોચ	Notch
સિદ્ધુને	To Sidhu
ખરીદવાનું	Buying
તમામને	To everyone
મોંઘવારીમાં	in inflation
જાણીએ	Let's know
અજનબી	Ajnabee
માર્ગ	path
વૈજ્ઞાનિક	scientific
મબલક	Mablak
બાઉન્સ	Bounce
બોડીની	of the body
ફાયદો	advantage
જીતેન્દ્રએ	Jeetendra
મહિલાની	of the woman
ગીત	Song
સેનેટરી	Sanitary
ચીનથી	from China
પાકિસ્તાનમાં	In Pakistan
જુનો	Old
ઉપસ્થિત	Present
લોક	Folk
સંપત્તિઃ	Property:
શાઓમીના	Xiaomina
બિકિનીવાળા	Bikini-clad
સૂદ	Sood
અઝિઝ	Aziz
તમારી	Yours
મોલમાં	In the mall
ગ્રામદીઠ	per gram
ક્ષેત્રમાં	in the field
લાગશે	will feel
વૃદ્ધ	Old man
શિક્ષણ	Education
છપાઈ	Printed
જન્મેલા	Born
બાબાનું	Baba's
દીવાના	Diwana
હસીનાએ	Hasina
દરની	Rate
પાછળનું	Back
દોબારા	Dobara
દુનિયામાં	In the world
અભિષેકનો	Abhishek's
ટૈટૂ	Tattoo
સોનાલીના	Sonali's
જીવનને	Life
બાબા	Baba
નીકળી	Out
લેનારા	Takers
મુખર્જી	Mukherjee
બકરી	goat
મંદીથી	from recession
દિપવીર	Deepveer
અભિનેત્રીઓએ	Actresses
સોંગે	Songe
મોનિકાની	Monica's
આપ્ટેએ	Apte
બિઝનેશ	Business
પ્લાસ્ટિકની	of plastic
અનોખી	Unique
સેલેબ	Celeb
સિલસિલો	Silsila
પ્રિંયકાનો	Priyanka's
તડકો	Sunshine
શાનદાર	Awesome
ડોકનો	Doc's
જ્વેલર્સનો	Of jewellers
પાર્ટીમાં	At the party
હાર્દિકની	Of Hardik
રોકનારાઓને	To the stoppers
સજા	Punishment
છેડતી	Teasing
ગુજરાતીઓ	Gujaratis
ભાગની	part
શકશે	can
કલાક	hour
10મા	10th
ચાવલાનું	Chawla's
વેચતા	Selling
ડાન્સનાં	of dance
11કરોડની	Rs 11 crore
રોલિંગ	Rolling
બાળકને	to the child
દોડી	Running
દશ	ten
ટ્રેનના	of the train
ઇનમાં	In in
કર્મચારીઓને	Employees
કાકા	Uncle
કેન્સલ	Canceled
ડાઉનલોડિંગ	Downloading
અક્ષરાની	Aksharani
જામ	Jam
ટ્રેલરની	of the trailer
રડવાનો	Crying
અભિ	Abhi
વ્યાજદરમાં	In interest rate
ચાર્જિસ	Charges
રસ્તો	road
એટીએમ	ATM
વખાણમાં	In praise
મેકઅપે	Make-up
દરિયામાં	At sea
ટ્રાન્સજેન્ડર	Transgender
મોંધવારી	Mondhwari
ચીરયૌવન	Chirayauvan
ચૂનો	lime
ટકાથી	percent
ચુકવાશે	will pay
સોનાલી	Sonali
દુબઈના	Of Dubai
કેબિનેટ	Cabinet
10250ની	10250
નિધનની	of death
સંઘર્ષ	Struggle
કક્કરને	To Kakkar
જીવનનું	Life's
પોઝથી	from pose
જોઇ	Saw
લેટર	Letter
બાદનો	The latter
કિંમતોએ	Prices
જયાપ્રદા	Jayaprada
ટ્રક	Truck
વેટનો	Wet's
રિસેપ્શનમાં	at the reception
ફેસબૂકમાં	In Facebook
આંતરરાષ્ટ્રીય	International
અસભ્ય	rude
નબળી	Weak
અક્ષયે	Akshay
ગેમ્સ	Games
માર્કેટને	to the market
કક્કડે	Kakkade
મુસ્લિમ	Muslim
હિના	Hina
ત્યારથી	Ever since
પ્રોસેસ	Process
726માં	In 726
બબાલ	Babbal
ખરીદશે	Will buy
શિયોમીનો	Xiaomi's
આરોપીઓને	accused
સારવાર	Treatment
ગેજેટને	to gadget
શકું	I can
ઐશ્વર્યા	Aishwarya
કરનારો	Doer
સરળતા	Ease
ટાટાનો	Tata's
પહોંચ્યું	arrived
નીતા	Nita
ગોઠવણ	Adjustments
ક્લિક	Click
ઠંડક	Cooling down
આખી	The whole
અર્જૂનનાં	Arjun's
કોઇ	Someone
રિમૂવ	Remove
આગવો	Next Up
રૂપિયો	rupee
છેતરપિંડીની	cheating
ગોલ્ડ	Gold
ઈશાના	Ishana
કમબેકની	Of a comeback
કોન્ડોમ	Condoms
ભલામણ	Recommendations
તબીબી	Medical
બ્રાવિયા	Bravia
સ્ટુડિયો	Studio
રહો	Stay on
સત્ર	Session
માંગતો	Wanting to
બ્લશ	Blush
6ની	of 6
ટિકિટનો	of the ticket
પાટીયા	Patiya
સંબંધમાં	In a relationship
મોંઘવારી	Inflation
60દિવસમાં	In 60 days
શુભેચ્છા	Best wishes
કલાકોનું	hours
પોર્ટ	Port
કાર્યવાહીથી	by proceedings
અરૂણ	Arun
માર્કેટની	of the market
વીમો	insurance
છોરીયાં	Chicks
વિસનગર	Visnagar
જોતા	Looking at
અસરઃ	Effect:
એક્ટ્રેસની	of the actress
ધૂત	Dhoot
જન્મ	Birth
આતંકવાદીઓએ	terrorists
ભવિષ્ય	The Future
અમારૂ	ours
વૂમન	Woman
થાઓ	Be
પટની	Patni
માતાને	Mother
શિખા	Shikha
સેક્સનાં	of sex
રવાના	Departure
હવેથી	From now on
ઘટાડવાની	To reduce
નવરાત્રિ	Navaratri
વાપર્યું	Used
સલમાનનું	Salman's
શરમજનક	Embarrassing
વેણુગોપાલના	Venugopal's
અંજનાસિંહ	Anjana Singh
કાળુનાણું	Black money
ટિવસ્ટ	Tweepst
માની	Mani
યોજાયો	Held
મર્ચન્ટ	Merchant
ત્રિપાઠી	Tripathi
છોડીને	Leaving
કેન્ટિનમાં	In the canteen
કાયમ	Forever
ચુસ્કી	Chuski
તોડવાની	To break
લાવવા	Fetch
હિરો	Hero
પત્રકાર	journalist
બંગાળી	Bengali
કાર્ડની	of the card
નવાઈ	Surprised
ત્રિવેદી	Trivedi
એડિટિંગ	Editing
ડોક્યુમેન્ટ્રી	Documentary
શેપ	Shape
બાબતમાં	In case
ફેમિલીને	To the family
10600ની	10600
જેક્લિનનાં	Of Jacqueline
આપવાનાં	to give
બોટમાં	In the boat
ન	No
બળવાખોર	Rebel
સેવાથી	from service
ગીતે	Geete
છેડતીનો	of molestation
દરવાજા	The doors
વિનતા	Vinta
ટેક્નોલોજી	Technology
સ્ટીવ	Steve
શાકભાજી	vegetable
ખુબસૂરતીને	To the beauty
રિસ્ક	Risk
લોન્ચ	Launch
94માં	In 94
રડવા	Crying
હસતા	Laughing
પોતે	Himself
વિરોધ	Protest
વડોદરાઃબાયોટોર	Vadodara: Biotor
શરમાવે	Shame on
ડોલરમાં	in dollars
પોલીસનો	of the police
ઓર્ટેલિયસને	To Ortelius
સમાજ	Society
સાતમું	seventh
બોટલ	Bottle
ઉગ્ર	fierce
છવાયેલી	covered
ગ્લોબ	Globe
મુન્ની	Munni
પટણી	Patni
સોલર	Solar
કરાવ્યું	Done
ચલાવી	Ran
મિનિટની	minutes
હિતેન	Hiten
ખોટો	Incorrect
ઓફ	Of
બુધવારે	On Wednesday
રહેમાનની	Rahman's
નેટ	Net
તમામ	All of it
ટ્વિટરથી	From Twitter
ચેટનો	Chat's
લલકાર	Lalkar
આર્યને	To Arya
અલગથી	separately
સીએમના	CM's
વધારીને	by increasing
એવેન્જર્સ	Avengers
બેબએ	Babe
મહોર	Mahor
શોનું	Of the show
એક્ટિવા	Activa
આદમીના	of the man
ક્યો	What?
ભટ્ટ	Bhatt
મળો	Meet
શકતી	could
બેપનાહ	Bepanah
પર	on
ભાડાના	Of Rent
અમાને	Amane
કોમર્સ	Commerce
રણબીરનું	Ranbir's
તેલ	oil
હીરા	Diamonds
ઇન્ફોસિસ	Infosys
ગુલ	Gul
એક્ટરને	To the actor
કાળજા	Kaalja
દર્શન	Darshan
સામેઃ	In front:
સેંસેશન	Sensation
કાર્લમેન	Carlman
કચેરીમાં	in the office
સુરક્ષા	Security
દિલથી	From the heart
સમાર્ટફોન	Smartphone
ચૂકતે	Pay off
નીચે	downwards
પાર્થિવદેહ	Parthivadeh
ઉડાવી	blown up
આયુષ્યમાન	Life expectancy
વેરા	Vera
વાયરસની	of the virus
કેટલીક	Some
ચકાશો	Check
પેકેજની	of the package
સુવિધા	Facility
મુકી	put on
હેઠળ	Under
જનારી	Janari
તબલા	tabla
શરમાઈ	Ashamed
જનારા	Goers
રાખનારી	Keeper
અમેરિકા	Americas
હોટ	Hot
તોડી	Broken
વધાર્યુ	increased
મોનાલિસા	Monalisa
બોસ	Boss
રેટવાળી	rated
લીધુ	Taken
ટ્રાન્સફરનો	Transfers
બોનાન્ઝા	Bonanza
હિટ	Hit
પ્લેન	Plane
દીધી	given
તુજે	You
ઈશાન	Ishaan
ખરીદ	Purchase
મીનિટોમાં	in minutes
ખોલી	Opened
31મી	31st
ખાતું	Accounts
મૂળની	of origin
ટોલગેટ	Tollgate
કરાવ્યો	done
બાઇક	Bike
શિલ્પા	Shilpa
કુમારના	Kumar's
ઇલિયાનાનો	Ileana's
નાખી	cast
અમરેલીના	Of Amreli
લાવી	Loaded
બેંકનાં	of the bank
નાખ્યાં	dropped
રફુચક્કર	Rafuchakkar
ગેસનું	of gas
12નો	of 12
પરંપરા	tradition
ફેમ	Fame
કવચ’	Kavach'
ડિફોલ્ટર્સ	Defaulters
ગ્રાન્ડ	Grand
લૂણ	Salt
દબાવતા	Pressing
વિક્ટોરિયા	Victoria
સિમ	Sim
સૌની	Of all
સમુંદર	Samundar
સર્ટી	Surty
દસકામાં	in decades
શાહરૂખથી	From Shah Rukh
જોડવામાં	In Connecting
ડિઝલ	Diesel
ક્યાંક	Somewhere
વખણાય	Praise
બ્રાન્ડેડ	Branded
કરિશ્માનો	Of Charisma
વધી	increased
મલાઇકાએ	Malaika
લોકલ	Local
પાથરીને	Pathri
થતાં	happening
નીતિ	Policy
2019ની	Of 2019
પૂનમ	Poonam
જેમ	Like
ટકાનો	percent
નારાયણની	Narayan's
ખતમ	Finished
કિસ્મત	Kismat
ફ્રોડઃ	Fraud:
સિરીયલના	Of the serial
કાર્ડના	of the card
એકઃ	One:
ઉત્પાદકોને	to manufacturers
વેરિએન્ટમાં	In variant
કરાયા	Done
લાઈવ	Live
ત્રણના	of three
વધુ	More
ખરીદવામાં	To buy
રોકી	Rocky
પાન	leaf
ખાંડથી	from sugar
ખન્નાએ	Khanna
ખાવા	To eat
કસોટી	Test
ગુલાટી	Gulati
લંબાઇ	Length
ધડકે	Banging
સોમવારે	On Monday
ખૂશી	Khushi
મેગાપિક્સલ	megapixels
હતુ	was
ચૂકતા	missing
પડશે	will have
લગાવવાનું	To install
ટકા	percent
બાસમતી	Basmati
અપ	Up
રણબીર	Ranbir
સ્વાદ	taste
સુબ્રત	Subrata
નહિ	No
બિનસબસિડીવાળાં	Unsubsidized
દાયકાની	of the decade
હોવાની	to be
ધરપકડથી	from arrest
સલમાન	Salman
જમા	Deposit
દેવો	Gods
બાયોગ્રાફી	Biography
નિફ્ટીએ	Nifty
માઈક્રોમેક્સનો	Micromax's
નેસ	Ness
બ્લુ	Blue
ક્રાંતિકારી	Revolutionary
મટકાવવા	To squeeze
નહોતી	Not
સ્ટ્રાઇકની	of strike
જોડાયેલી	Connected
કરિનાનો	Kareena's
બદલાયો	Changed
ખોલાવવો	Open
3નો	of 3
લેવાયા	Taken
રચશે	will create
શ્લોકાને	To Shloka
બેસી	Sit down
મલાઇકાના	Malaika's
સિંગતેલમાં	In Singtel
સલાહ	advice
ફ્રાંસને	To France
દિવાળી	Diwali
ઉતાર્યા	Offloaded
દૂધથી	with milk
કાયાના	Kayana
સેટિંગ્સમાં	In Settings
વારયલ	Waryal
કુમારસ્વામી	Kumaraswamy
સહમતીથી	by consent
પાછા	Back
મુંબઈ	Mumbai
પાછળની	Back
રેટિંગ	Rating
કોના	Whose
ઝાટકણી	Jhankal
સેરેમનીમાં	In the ceremony
દેણામાં	in debt
ઇન્સ્ટાગ્રામનું	Of Instagram
નાખુશ	Unhappy
જ્વેલ્સે	Jewels
કેઝ્યુઅલમાં	In casual
ભારતે	India
સીડી	CD
બેરોજગારને	To the unemployed
નિવેદન	Statement
દીકરો	Son
ઇફ્તાર	Iftar
કિંજલ	Kinjal
જેઠ	Jeth
સહયોગી	Associate
ફીચરથી	From the feature
સેમસંગે	Samsung
કરણી	Karani
ફ્યુચર	Future
આવિષ્કાર	Discovery
માથા	Head
થયુ	happened
વચગાળાનું	Interim
કોની	Connie
વુમન	Woman
4500માં	In 4500
મૃત્યું	death
ગાડીયોના	Gaadiyona
થોર	Thor
મુકતાંની	to put on
સમ્રાટ	Emperor
જીમની	Jim's
માઇક્રોસોફ્ટે	Microsoft
ઓછી	Less
એપ	App
ગાડીની	of the car
માતા	mother
પૂછ્યાં	Asked
કુમારની	Kumar's
સુધીનું	up to
મનાવશે	will be persuaded
નિશા	Nisha
ઓનસ્ક્રીન	Onscreen
જથ્થાબંધ	in bulk
બેજોસ	Bezos
પ્રકાશે	Light
ઈશાની	Ishani
લોન્ચુ	Launchu
શીખ્યો	Learned
શરૂઆતમાં	In the beginning
માધુરીની	Of Madhuri
ક્લિયર	Clear
અંતે	At the end
ફરો	Turn around
ક્રિકેટ	cricket
યૌન	Sexual
કારને	Car
વેઠવું	to suffer
બાળપણની	Of childhood
પ્રાઇવસી	Privacy
રિતિક	Hrithik
એવોર્ડનાં	Awards
બુલેટ	Bullet
થયાં	happened
પૈસાથી	with money
ટ્રેલર	Trailer
ભાષા	language
હિરોઇનનો	of the heroine
ઈન્ડીયાના	India's
પસ્તાય	Repentant
બીના	Bina
આમાં	In this
સિંહને	to the lion
પરિધાન	Dress
ફિંગરપ્રિન્ટને	fingerprint
સગાઇ	Engagement
4900નું	Of 4900
મહેતામાં	In Mehta
ભાજપના	BJP
ગુજરાતે	In Gujarat
મંગેશકર	Mangeshkar
કોલ્સ	Calls
શાહિદની	Shahid's
સહકારની	Of cooperation
આપઘાત	Suicide
સેમ	Sam
શાકભાજીના	Vegetables
સિદ્ધુએ	Sidhu
ધમાકેદાર	Bang on
ફિચર્સવાળા	With features
ભારતીયોને	To The Indians
ઓન	On
માંગતી	Asking for
લગાવશે	will impose
આમિરે	Aamir
ચોપડા	Chopra
તરીકે	as
એટલો	So much so
સેલ	Cell
શોધવા	To find
હજારે	Hazare
મહાનુભાવનો	Of the dignitaries
તહેવાર	festival
હિઝબુલના	Of Hizbul
પ્રશ્નનો	Question
મહત્વનો	Important
થોથર	Thother
પછાડ્યુ	Knocked down
કરાવશો	Get it done
સુરતથી	From Surat
જવાબ	reply
બેંકની	of the bank
પેઈડ	Paid
પી	P
લાગ્યો	felt
ટાટાને	To The Tatas
વિલયની	Vilayne
વિમાન	aeroplane
સ્કૂટર્સ	Scooters
જનતાની	of the public
ડીઝલ	Diesel
ગ્રેચ્યુઇટીની	of gratuity
બિટકોઈન	Bitcoin
કિંમતનાં	Of Value
દાયરામાંથી	from Daira
કીમત	Price
500થી	From 500
મસ્કએ	Musk
સ્ટેશનો	Stations
મોટરસાઈકલ	motorcycle
મીડિયાની	of the media
આપણે	We
ગુજરાતના	Gujarat
અવતારે	Avatare
ઇન્વેસ્ટ	Invest
તગડી	Tagadi
નજીક	near
રિઝર્વ	Reserve
સુધારશે	Will update
સેમસંગ	Samsung
પામી	Pami
તસવીર	Picture
ઉભી	Stand up
ઇન્ટેક્સ	Intex
સૈફીનાની	Saifina's
શારિરીક	physical
જોઈએ	Let's see
સ્ટાર્ટઅપ	Startup
અર્થવ્યવસ્થા	Economy
ઉડાવ્યા	flew
તરત	instantly
સાડીમાં	In a saree
ક્લાસમાં	In class
રામલીલા	Ramlila
સરસ	Nice
મોકલવામાં	Sent in
ભરપાઇ	Reimbursement
75ની	Of 75
